com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,18,2024-06-11 22:58:00.000,,,2024-06-11 22:58:59.000,2024-06-11 22:58:59.000,18,1.1847727,14.400879,0.9614563,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:58:59.000,b3ab0c49-0e0d-b455-84bf-e5b459c02004,
,,0,42,2024-06-11 23:03:00.000,,,2024-06-12 21:36:26.000,2024-06-11 23:03:59.000,42,1.2446495,33.60205,2.2330627,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 23:03:59.000,4efdc959-d597-9b71-d2b3-5914614ce6ab,
,,10,10,2024-06-17 21:15:00.000,,,2024-06-17 21:15:59.000,2024-06-17 21:15:59.000,20,2.1789844,17.500002,1.279619,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:15:59.000,ac7b6610-e672-a363-a5c8-fd6166891ed3,
,,0,23,2024-06-17 21:17:00.000,,,2024-06-17 21:17:59.000,2024-06-17 21:17:59.000,23,1.5774701,18.399984,1.1611607,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:17:59.000,de3a0180-82ae-6c0a-ccba-93b027601de3,
,,0,62,2024-06-17 21:20:00.000,,,2024-06-17 21:20:59.000,2024-06-17 21:20:59.000,62,1.3635947,53.799988,3.9591079,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:20:59.000,8e1770e0-12e7-612b-a3bd-f2655b91351c,
,,0,15,2024-06-17 21:22:00.000,,,2024-06-17 21:23:12.000,2024-06-17 21:22:59.000,15,1.5476191,12.000038,0.74331,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:22:59.000,e38bd655-b230-9bf6-a711-c9248ad55a60,
,,0,52,2024-06-17 21:50:00.000,,,2024-06-17 21:50:59.000,2024-06-17 21:50:59.000,52,1.3929865,41.600143,2.681312,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:50:59.000,b4a8f386-5bc3-046c-8d86-6dfbd1cb3f91,
,,0,19,2024-06-17 21:58:00.000,,,2024-06-17 21:58:59.000,2024-06-17 21:58:59.000,19,1.3360043,15.200058,1.0000982,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:58:59.000,652b8f48-0f12-76aa-ede9-9abbd89138ec,
,,0,15,2024-06-17 21:59:00.000,,,2024-06-17 21:59:59.000,2024-06-17 21:59:59.000,15,1.0998319,12.000046,0.8065748,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 21:59:59.000,60bd5bee-9b4e-17dd-cc79-9c898938ab78,
,,0,19,2024-06-17 22:15:00.000,,,2024-06-17 22:15:59.000,2024-06-17 22:15:59.000,19,1.1712844,15.200058,1.0468178,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:15:59.000,7e35a1b8-4fff-da6b-9b4f-efa2bc8b21c4,
,,0,42,2024-06-17 22:23:00.000,,,2024-06-17 22:23:59.000,2024-06-17 22:23:59.000,42,1.3256961,33.60013,2.2143822,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:23:59.000,b04db503-2fee-ef6f-49ef-3af54a5f5f99,
,,0,10,2024-06-17 22:28:00.000,,,2024-06-17 22:28:59.000,2024-06-17 22:28:59.000,10,1.5555556,8.0000305,0.5140228,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:28:59.000,a5c975a4-c41e-d461-e3ee-bf1b9dd0eb62,
,,0,29,2024-06-17 22:31:00.000,,,2024-06-17 22:31:59.000,2024-06-17 22:31:59.000,29,1.3586001,23.200089,1.5356417,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:31:59.000,39d43486-6962-6f34-7ac4-3ccf8ea72406,
,,0,20,2024-06-17 22:34:00.000,,,2024-06-17 22:42:21.000,2024-06-17 22:34:59.000,20,1.2292827,15.999954,1.0367908,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:34:59.000,63d54490-ca90-d2d2-92fc-2121c58a4c88,
,,0,29,2024-06-17 22:53:00.000,,,2024-06-17 22:53:59.000,2024-06-17 22:53:59.000,29,1.110199,23.199707,1.4922237,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:53:59.000,2aa694e9-1422-9655-9916-3606e07471d8,
,,0,36,2024-06-17 22:54:00.000,,,2024-06-17 22:54:59.000,2024-06-17 22:54:59.000,36,1.353794,28.799652,1.8722191,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:54:59.000,f4cbf299-9518-d51b-bcb6-da2e8cb5f04d,
,,0,18,2024-06-17 22:55:00.000,,,2024-06-17 22:55:59.000,2024-06-17 22:55:59.000,18,1.6398256,14.399902,0.9089222,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:55:59.000,08197cb8-0c2d-a03e-b093-f64363ad9af2,
,,0,18,2024-06-17 22:56:00.000,,,2024-06-17 22:56:59.000,2024-06-17 22:56:59.000,18,1.8604796,14.39978,0.9274616,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-17 22:56:59.000,101d1653-1b6e-5f00-bea5-bd0d39a0c22b,
